Table S7. Overview of all assembled samples with >10 LARSFARDIG motifs. Key metadata are shown, along with the number of LARSFADIG motifs and var genes at different length cut-offs.                                    
Data of Pf6 and Elife can be found at https://www.malariagen.net/projects/p-falciparum-community-project#data                                    
Accession number of the pf3k can be found at https://www.malariagen.net/projects/pf3k#data                                    

ID2	Dataset	Accession number	Origin of sample	Year of sample collection	Part of normalised set?	# LARSFADIG motifs	# var genes > 1kb	# var genes > 3kb	# var genes > 3.5kb
PA0007-C	PF3K	ERS010116	Gambia, The	2008	1	50	99	49	41
PA0008-C	PF3K	ERS010126	Gambia, The	2008	1	157	312	172	155
PA0011-C	PF3K	ERS010043	Gambia, The	2008	1	47	108	32	29
PA0012-C	PF3K	ERS010127	Gambia, The	2008	1	57	103	63	58
PA0015-C	PF3K	ERS010044	Gambia, The	2008	1	48	81	45	39
PA0016-C	PF3K	ERS010045	Gambia, The	2008	1	63	134	47	36
PA0017-C	PF3K	ERS010128	Gambia, The	2008	1	60	84	64	63
PA0018-C	PF3K	ERS010046	Gambia, The	2008	1	64	123	48	37
PA0020-C	PF3K	ERS010047	Gambia, The	2008	1	54	96	50	42
PA0021-C	PF3K	ERS010048	Gambia, The	2008	1	100	184	99	89
PA0022-C	PF3K	ERS010129	Gambia, The	2008	1	50	82	57	52
PA0026-C	PF3K	ERS011006	Gambia, The	2008	1	44	96	44	37
PA0027-C	PF3K	ERS010049	Gambia, The	2008	1	102	201	86	78
PA0029-C	PF3K	ERS010038	Gambia, The	2008	1	57	107	49	43
PA0030-C	PF3K	ERS009726	Gambia, The	2008	1	159	520	83	67
PA0032-C	PF3K	ERS010130	Gambia, The	2008	1	55	89	57	52
PA0034-C	PF3K	ERS010117	Gambia, The	2008	1	57	102	62	56
PA0035-C	PF3K	ERS010039	Gambia, The	2008	1	45	93	39	35
PA0036-C	PF3K	ERS010040	Gambia, The	2008	0	39	72	44	37
PA0037-C	PF3K	ERS010041	Gambia, The	2008	1	43	85	49	40
PA0038-C	PF3K	ERS009729	Gambia, The	2008	1	64	127	50	48
PA0039-C	PF3K	ERS009966	Gambia, The	2008	1	81	154	79	71
PA0040-C	PF3K	ERS010118	Gambia, The	2008	1	74	117	79	72
PA0041-C	PF3K	ERS010119	Gambia, The	2008	1	81	139	86	75
PA0042-C	PF3K	ERS010120	Gambia, The	2008	1	59	92	68	63
PA0044-C	PF3K	ERS009731	Gambia, The	2008	1	80	137	77	72
PA0045-C	PF3K	ERS009732	Gambia, The	2008	1	49	98	55	55
PA0046-C	PF3K	ERS009733	Gambia, The	2008	0	54	103	54	47
PA0047-C	PF3K	ERS010113	Gambia, The	2008	1	48	138	35	29
PA0049-C	PF3K	ERS010071	Gambia, The	2008	1	51	87	55	47
PA0050-C	PF3K	ERS009669	Gambia, The	2008	1	62	102	68	65
PA0051-C	PF3K	ERS011004	Gambia, The	2008	1	47	90	54	49
PA0052-C	PF3K	ERS010070	Gambia, The	2008	1	91	142	95	87
PA0053-C	PF3K	ERS009967	Gambia, The	2008	1	109	223	112	88
PA0056-C	PF3K	ERS011002	Gambia, The	2008	1	53	106	57	55
PA0057-C	PF3K	ERS011016	Gambia, The	2008	1	49	77	44	42
PA0059-C	PF3K	ERS011009	Gambia	2008	1	49	109	54	49
PA0061-C	PF3K	ERS009670	Gambia, The	2008	0	106	165	107	98
PA0064-C	PF3K	ERS011012	Gambia, The	2008	1	46	121	53	45
PA0065-C	PF3K	ERS010079	Gambia, The	2008	1	50	99	52	42
